,,Expected profit,Expected profit,Expected profit,Expected profit,Detection risk,Detection risk,Number of calls,Number of calls
,,mean,std,min,max,mean,std,mean,max
alpha,delta,,,,,,,,
0.001,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.5,89.0,73.39,9.0,199.0,0.0,0.0,1.0,1.0
0.005,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.5,89.0,73.39,9.0,199.0,0.0,0.0,1.0,1.0
0.01,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5,89.0,73.39,9.0,199.0,0.0,0.0,1.0,1.0
0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5,89.0,73.39,9.0,199.0,4.0,0.0,1.0,1.0
